,slang,formal
1049,bgttttttt,banget
1050,blng,bilang
1051,mngasi,mengasih
1052,kmbang,kembang
1053,pg,pagi
1054,nie,ini
1055,pla,pula
1056,kw,kau
1057,blakon,berlakon
1058,sy,saya
1059,nmpk,nampak
1060,bngtzt,banget
1061,lucukkkkk,lucu
1062,sbelah,sebelah
1063,baek,baik
1064,ciusss,serius
1065,palinf,paling
1066,fav,favorit
1067,maak,mak
1068,ngakaaaakkk,mengakak
1069,gokill,gila
1070,kocakkkkkk,kocak
1071,ngekek,mengekek
1072,capee,cape
1073,pegangin,memegang
1074,nyender,menyandar
1075,bener,benar
1076,manjain,memanjakan
1077,peleotin,meleot
1078,bng,bang
1079,termurahhhh,termurah
1080,nyatakan,menyatakan
1081,graaatiiiis,gratis
1082,meriahh,meriah
1083,cantikkkm,cantik
1084,parahh,parah
1085,bingits,banget
1086,yuppss,ya
1087,nyindir,menyindir
1088,onoh,sono
1089,bnyk,banyak
1090,anakny,anaknya
1091,staf2nya,staf-stafnya
1092,begete,banget
1093,aduhh,aduh
1094,manteppp,mantap
1095,hati2,hati-hati
1096,jangan2,jangan-jangan
1097,kata2nya,kata-katanya
1098,ynk,sayang
1099,"nangis""",menangis-nangis
1100,"hati""",hati-hati
1101,"jangan""",jangan-jangan
1102,emank,memang
1103,cr,cara
1104,diemin,diamkan
1105,hancurin,menghancurkan
1106,ckp,cukup
1107,mgkn,mungkin
1108,ato,atau
1109,diapain,diapakan
1110,ms,masih
1111,haragain,menghargai
1112,cb,coba
1113,nyakitin,menyakiti
1114,jgn2,jangan-jangan
1115,sbaiknya,sebaiknya
1116,mngerti,mengerti
1117,blajar,belajar
1118,fakta2,fakta-fakta
1119,spt,seperti
1120,mnding,mending
1121,nilai2,nilai-nilai
1122,buka2,buka-buka
1123,nyinyirin,nyinyir
1124,pdhl,padahal
1125,pd,pada
1126,nyerang,menyerang
1127,hrs,harus
1128,mrk,mereka
1129,trima,terima
1130,ngomomg,mengomong
1131,mang,memang
1132,kbetulan,kebetulan
1133,orgtuanya,orang tuanya
1134,sbelum,sebelum
1135,ngamatin,mengamati
1136,ngintip,mengintip
1137,stelah,setelah
1138,sndiri,sendiri
1139,ngintilin,mengintil
1140,smnjak,semenjak
1141,trbukti,terbukti
1142,nyambet,menyambat
1143,msk,masuk
1144,krmh,ke rumah
1145,rmh,rumah
1146,bo'ong,bohong
1147,eloo,lo
1148,apa2nya,apa-apanya
1149,goblokkk,goblok
1150,sesatt,sesat
1151,ibliss,iblis
1152,elo,lo
1153,kbiasaan,kebiasaan
1154,hdpnya,hidupnya
1155,lbh,lebih
1156,byk,banyak
1157,anknya,anaknya
1158,tdr,tidur
1159,sbuah,sebuah
1160,anak2nya,anak-anaknya
1161,tdnya,tadinya
1162,ank2nya,anak-anaknya
1163,milih,memilih
1164,branjak,beranjak
1165,ank2,anak-anak
1166,masyarakay,masyarakat
1167,mudah2an,mudah-mudahan
1168,menegerti,mengerti
1169,apa2,apa-apa
1170,sok2,sok-sok
1171,nasehatin,menasihati
1172,ngaca,mengaca
1173,ajah,saja
1174,kakkkk,kak
1175,slamet,selamat
1176,ampe,sampai
1177,nari,menari
1178,ehh,eh
1179,mf,maaf
1180,ngcpin,mengucapkan
1181,woowwww,wow
1182,iaa,ya
1183,kdg,kadang
1184,kebagi,terbagi
1185,nerusin,meneruskan
1186,indo,indonesia
1187,univ,universitas
1188,maen,main
1189,wihh,wih
1190,tetapppp,tetap
1191,gantenggg,ganteng
1192,jakety,jaketnya
1193,nggk,enggak
1194,skli,sekali
1195,kli,kali
1196,ttp,tetap
1197,pala,kepala
1198,pusingggg,pusing
1199,pucing,pusing
1200,ihhhh,ih
1201,maho,manusia homo
1202,gantng,ganteng
1203,alak,kepala
1204,hilangv,hilang
1205,bungggg,bung
1206,gapap,enggak apa-apa
1207,kyak,kayak
1208,pling,paling
1209,gokiiill,gila
1210,busedh,buset
1211,gokilnya,gilanya
1212,duluuu,dulu
1213,keceee,kece
1214,nyaa,nya
1215,klu,kalau
1216,gilaa,gila
1217,duuhhh,duh
1218,amiiiiinnnnn,amin
1219,dg,dengan
1220,tullus,tulus
1221,tw,tau
1222,pluk,peluk
1223,durhaka2,durhaka-durhaka
1224,kpada,kepada
1225,"seburuk""",seburuk-buruk
1226,ortu,orang tua
1227,ktaa,kita
1228,yup,ya
1229,tdk,tidak
1230,tetaplaah,tetaplah
1231,ajja,saja
1232,dech,deh
1233,oprasi,operasi
1234,gya,gaya
1235,kndung,kandung
1236,sbg,sebagai
1237,u,untuk
1238,ksenangan,kesenangan
1239,ddpt,didapat
1240,jwab,jawab
1241,mmbodohkan,membodohkan
1242,orlaen,orang lain
1243,bgtu,begitu
1244,drpd,daripada
1245,malem,malam
1246,aplikasiin,mengaplikasikan
