,slang,formal
1871,hadeehh,aduh
1872,pu,punya
1873,suamiiiii,suami
1874,krenn,keren
1875,kebykan,kebanyakan
1876,tingal,tinggal
1877,pernikahn,pernikahan
1878,ngtain,mengatai
1879,macem,macam
1880,bagusnyeee,bagusnya
1881,kemaren,kemarin
1882,hmpir,hampir
1883,liatnyaaa,lihatnya
1884,waw,wow
1885,mbuh,embuh
1886,bsk,besok
1887,waaa,wah
1888,berbiiiiiihhh,barbie
1889,canteek,cantik
1890,teru,terus
1891,nyatok,mencatok
1892,nyampenya,sampainya
1893,goncengin,boncengkan
1894,kasi,kasih
1895,dianterin,diantar
1896,gebleg,geblek
1897,bosen,bosan
1898,anterin,antar
1899,ngantar,mengantar
1900,nganterin,mengantarkan
1901,mz,mas
1902,nerima,menerima
1903,ati2,hati-hati
1904,yeuh,ya
1905,kmn,kemana
1906,dianter,diantar
1907,disupirin,disopiri
1908,jidad,jidat
1909,ciee,cie
1910,novembr,november
1911,hri,hari
1912,bedain,membedakan
1913,genduut,gendut
1914,ehhh,eh
1915,bertatto,bertato
1916,brrt,berarti
1917,kana,kanan
1918,dtg,datang
1919,doong,dong
1920,sblah,sebelah
1921,tauuu,tau
1922,tengaj,tengah
1923,ps,pas
1924,gmpg,gampang
1925,engk,enggak
1926,apal,hapal
1927,dak,indak
1928,rupa2nya,rupa-rupanya
1929,kembaq,kembar
1930,tngh,tengah
1931,mknya,makanya
1932,prmpuan,perempuan
1933,ketuker,tertukar
1934,drimnanya,darimananya
1935,cntikan,cantikan
1936,edaaaan,edan
1937,syp,siapa
1938,bcnda,bercanda
1939,uhhh,uh
1940,bazengg,bajingan
1941,haiii,hai
1942,bosaan,bosan
1943,gitu2,begitu-gitu
1944,kmana2,kemana-mana
1945,hrsnya,harusnya
1946,sdg,sedang
1947,komentar2,komentar-komentar
1948,kenyataan2,kenyataan-kenyataan
1949,silahkan,silakan
1950,lwt,lewat
1951,sukur2,sukur-sukur
1952,baek2,baik-baik
1953,cma,cuma
1954,berbeda2,berbeda-beda
1955,dibkatakan,dikatakan
1956,doonk,dong
1957,pengikuy,pengikut
1958,ngmngin,mengomongkan
1959,sblmnya,sebelumnya
1960,maksd,maksud
1961,adkah,adakah
1962,menbelah,membelah
1963,ayuk,ayo
1964,mngira,mengira
1965,bertolernsi,bertoleransi
1966,slahkan,salahkan
1967,tolernsi,toleransi
1968,sbnarnya,sebenarnya
1969,ingi,ingin
1970,oalaaaa,walah
1971,menjelekan,menjelekkan
1972,hadeuuh,aduh
1973,dikemanain,dikemanakan
1974,aneh2,aneh-aneh
1975,bpknya,bapaknya
1976,baca2,baca-baca
1977,jwb,jawab
1978,komen2,komen-komen
1979,sebelum2nya,sebelum-sebelumnya
1980,sbagai,sebagai
1981,sedihh,sedih
1982,kangennnn,kangen
1983,gndakan,gandakan
1984,kangeeeeeeeenya,kangen
1985,gaa,enggak
1986,ganti'kn,menggantikan
1987,tnang,tenang
1988,amiiiiiiiiiiiiiiiiin,amin
1989,kgeeeen,kangen
1990,kangeenn,kangen
1991,bangeeeet,banget
1992,bsok,besok
1993,hbis,habis
1994,mti,mati
1995,bngetttt,banget
1996,kangeen,kangen
1997,bgect,banget
1998,"kebaikan""y",kebaikannya
1999,dssi,disisi
2000,kngenn,kangen
2001,kangeeeeennn,kangen
2002,lagii,lagi
2003,dasyat,dahsyat
2004,aer,air
2005,bgni,begini
2006,skalii,sekali
2007,gg,enggak
2008,dtinggl,ditinggal
2009,terbaiiikkkkk,terbaik
2010,murahhh,murah
2011,pecahhg,pecah
2012,kakakgh,kakak
2013,terbaeeeek,terbaik
2014,prempuan,perempuan
2015,manteep,mantap
2016,nggeh,engah
2017,indonesiaaa,indonesia
2018,inia,ini
2019,maluu,malu
2020,cobaaaa,coba
2021,dehhh,deh
2022,cepetan,cepatan
2023,ntapsss,mantap
2024,kamiiii,kami
2025,smangat,semangat
2026,qmu,kamu
2027,sdkit2,sedikit-sedikit
2028,tntg,tentang
2029,penyakitny,penyakitnya
2030,ngajarin,mengajari
2031,laenny,lainnya
2032,amiinnn,amin
2033,scpatny,secepatnya
2034,sampein,sampaikan
2035,tuany,tuanya
2036,doa2,doa-doa
2037,pjg,panjang
2038,adeeek,adek
2039,bca,baca
2040,netes,menetes
2041,mataq,mataku
2042,byangin,membayangkan
2043,trjadi,terjadi
2044,dposisi,diposisi
2045,tanda2nya,tanda-tandanya
2046,dijwb,dijawab
2047,tmn2nya,teman-temannya
2048,sayy,sayang
2049,salaam,salam
2050,ngajar,mengajar
2051,fto2,foto-foto
2052,laen,lain
2053,dallam,dalam
2054,tentanh,tentang
2055,nangiss,menangis
2056,nnton,menonton
2057,kejadianny,kejadiannya
2058,klg,keluarga
2059,sayaang,sayang
2060,msg2,masing-masing
2061,pgnnya,pengennya
2062,meluk,memeluk
2063,siiihhh,sih
2064,mupeng,muka pengin
2065,caya,percaya
2066,aduhhhhhhhhh,aduh
2067,buseett,buset
2068,mblo,jomblo
2069,lucuuu,lucu
2070,gagahx,gagahnya
2071,miriiiip,mirip
2072,kaliiii,kali
2073,niru,meniru
2074,bpkmu,bapakmu
2075,sangt,sangat
2076,baang,bang
2077,gasih,enggak sih
2078,yuu,yuk
2079,yuuu,yuk
2080,samaa,sama
2081,ngademin,mengademkan
2082,aahh,ah
2083,makasi,terima kasih
2084,looo,loh
2085,yokk,yuk
2086,gils,gila
2087,ono,sono
2088,weeeh,wih
2089,suksea,sukses
2090,temenan,berteman
2091,sehh,sih
2092,deket,dekat
2093,dekt,dekat
2094,genggg,geng
2095,yawloh,ya allah
2096,bhnya,bahannya
2097,loo,loh
2098,samaaaa,sama
2099,abanggku,abangku
2100,sayanggg,sayang
2101,dsni,disini
2102,ciieeeeeee,cie
2103,kokohh,engkoh
2104,pdhal,padahal
2105,takuttt,takut
2106,yuks,yuk
2107,pnjual,penjual
2108,yh,ya
2109,dung,dong
2110,latian,latihan
2111,aaaaaaakkk,ah
2112,mauuuu,mau
2113,soga,moga
2114,tteh,teteh
2115,sintron,sinetron
2116,astagaa,astaga
2117,ancurrr,hancur
2118,dblkang,dibelakang
2119,yayang,sayang
2120,gokillllll,gila
2121,aplks,aplikasi
2122,ska,suka
2123,ktawa,ketawa
2124,baguuus,bagus
2125,kaaan,kan
2126,ngepoin,mengepoi
2127,uuhh,uh
2128,beut,banget
2129,njirrr,anjir
2130,pengeeenn,ingin
2131,dongggg,dong
2132,hatii,hati
2133,besook,besok
2134,mauu,mau
2135,gtuu,begitu
2136,njayyy,anjay
2137,maacih,terima kasih
2138,tokayyy,tahi
2139,to,tapi
2140,mksdku,maksudku
2141,gituin,begitukan
2142,lgsung,langsung
2143,cba,coba
2144,nh,nih
2145,"ilang""",hilang-hilang
2146,giniin,beginikan
2147,ksini,kesini
2148,kubarikan,kuberikan
2149,ayank,sayang
2150,anyeng,anjing
2151,yankkk,sayang
2152,cukurrr,cukur
2153,gilaaaaaa,gila
2154,yhaaa,ya
2155,qaqaaaa,kakak
2156,sayangkuuuuu,sayangku
2157,kakakuuu,kakakku
2158,banx,bang
2159,edannn,edan
2160,bape,bawa perasaan
2161,"artis""",artis-artis
2162,ngelahirin,melahirkan
2163,paksain,memaksa
2164,biasaa,biasa
2165,hub,hubungi
2166,hubunggi,hubungi
2167,loooh,loh
2168,telimakacih,terima kasih
2169,nerawang,menerawang
2170,cantiiiik,cantik
2171,didapet,didapat
2172,tanya2,tanya-tanya
2173,pede,percaya diri
2174,kuningggg,kuning
2175,nyolot,menyolot
2176,elahh,alah
2177,pnting,penting
2178,bela2in,membela-bela
2179,marah2an,marah-marahan
2180,wlaupun,walaupun
2181,syantiiiiikkkkkkkkkkkk,cantik
2182,"bwa""",bawa-bawa
2183,agma,agama
2184,hijabb,hijab
2185,kerrennn,keren
2186,ngetik,mengetik
2187,ntah,entah
2188,pan,kapan
2189,mateeeek,mati
2190,geetoo,begitu
2191,sewain,menyewa
2192,kokkk,kok
2193,muluuu,melulu
2194,yaaang,yang
2195,iyaa,iya
2196,gituu,begitu
2197,yappp,ya
2198,uwahhhhh,wah
2199,bnr2,benar-benar
2200,psgn,pasangan
2201,ujg,ujung
2202,rmbut,rambut
2203,smp,sampai
2204,kki,kaki
2205,hayukk,hayo
2206,ntab,mantab
2207,atuhhh,atuh
2208,yukss,yuk
2209,lihaatttt,lihat
2210,niiiihh,nih
2211,liattt,lihat
2212,cuyyy,cuy
2213,gapernah,enggak pernah
2214,liatiii,lihat
2215,jombsss,jomblo
2216,emesshhh,gemas
2217,gemeessss,gemas
2218,poollll,pol
2219,gemesyak,gemas ya
2220,bngttt,banget
2221,ngegmesin,menggemaskan
2222,hndak,hendak
2223,hndk,hendak
2224,iiih,ih
2225,lutunaa,lucunya
2226,abiz,habis
2227,gemes,gemas
2228,ngareppppp,mengharap
2229,aamiinin,amin
2230,imuutt,imut
2231,abizzz,habis
2232,tay,tahi
2233,toketnya,teteknya
2234,tumpe2,tumpah-tumpah
2235,lenje,lenjeh
2236,tuuuuh,tuh
2237,cantinya,cantiknya
2238,macam2,macam-macam
2239,"mbak""",mbak-mbak
2240,ngatain,mengatai
2241,mbaknyaahh,mbaknya
2242,pyudara,payudara
2243,ditutupin,ditutupi
2244,bgitu,begitu
2245,ngomongnya,mengomongnya
2246,sich,sih
2247,cantiik2,cantik-cantik
2248,hati.a,hatinya
2249,mk.a,makanya
2250,mlt.a,mulutnya
2251,nyerocooooos,mencerocos
2252,kyk.a,kayaknya
2253,sklh,sekolah
2254,pljrn,pelajaran
2255,srng,sering
2256,ngilang,menghilang
2257,dikatain,dikatai
2258,maluuu,malu
2259,ngalahin,mengalahkan
2260,brisi,berisi
2261,pkoknya,pokoknya
2262,canti,cantik
2263,astagfirullh,astagfirullah
2264,nutupin,menutupi
2265,ori,orisinal
2266,kakakaaaaaaaaaaaaaa,kakak
2267,cantikkkkkkkk,cantik
2268,batwc,banget
2269,kamyuhhh,kamu
2270,dbwh,dibawah
2271,bukti2,bukti-bukti
2272,senenggg,senang
2273,mao,mau
2274,murhan,murahan
2275,prwtn,perawatan
2276,wjh,wajah
2277,bgettt,banget
2278,mereka2,mereka-mereka
2279,pakke,pakai
2280,dipake,dipakai
2281,ktergantungan,ketergantungan
2282,prwatn,perawatan
2283,ngebuktiin,membuktikan
2284,hslnya,hasilnya
2285,awal2,awal-awal
2286,setabil,stabil
2287,maksih,terima kasih
2288,gratiss,gratis
2289,bbrpa,beberapa
2290,"gara""",gara-gara
2291,"benar""",benar-benar
2292,ajaibb,ajaib
2293,pokonya,pokoknya
2294,setujuuu,setuju
2295,digituin,dibegitukan
2296,sekolahin,sekolahkan
2297,ajarin,ajarkan
2298,sendirii,sendiri
2299,mrnghadapi,menghadapi
2300,apalg,apalagi
2301,naka,nakal
2302,sdkt,sedikit
2303,besar2in,besar-besarkan
2304,bgmana,bagaimana
2305,s*inetr*n,sinetron
2306,mrusak,merusak
2307,mndpt,mendapat
2308,skt,sakit
2309,sebnyak,sebanyak
2310,terburu2,terburu-buru
2311,baik2,baik-baik
2312,ngumpat2,mengumpat-ngumpat
2313,nantangin,menantang
2314,ngegampar,menggampar
2315,ngelaporin,melaporkan
2316,salahin,salahkan
2317,gabisa,enggak bisa
2318,konsekwensi,konsekuensi
2319,muliany,mulianya
2320,mungki,mungkin
2321,lngsung,langsung
2322,tsb,tersebut
2323,t4,tempat
2324,bacahalah,bacalah
2325,dikerasin,dikerasi
2326,gkkan,enggak akan
2327,ngulangin,mengulangi
2328,bedaa,beda
2329,pnyaa,punya
2330,bol3h,boleh
2331,ngadu,mengadu
2332,ketauan,ketahuan
2333,dimarahin,dimarahi
2334,nyelesain,menyelesaikan
2335,troma,trauma
2336,kerasin,kerasi
2337,kamu2,kamu-kamu
2338,cewer,jewer
2339,bilanh,bilang
2340,jwban,jawaban
2341,nuduh,menuduh
2342,ngatur,mengatur
2343,rajin2,rajin-rajin
2344,bacaaaa,baca
2345,kekk,kayak
2346,jungkiir,jungkir
2347,gunaa,guna
2348,bales2in,balas-membalas
2349,orangg,orang
2350,tauuuu,tau
2351,byak,banyak
2352,kepad,kepada
2353,bantuanny,bantuannya
2354,ttinggi,tinggi
2355,perna,pernah
2356,grgr,gara-gara
2357,jari2,jari-jari
2358,pukulin,pukuli
2359,bengkak2,bengkak-bengkak
2360,komentarin,komentari
2361,bijak2,bijak-bijak
2362,lama2,lama-lama
2363,menurur,menurut
2364,tipe2,tipe-tipe
2365,diliat,dilihat
2366,liatlah,lihatlah
2367,teguran2,teguran-teguran
2368,gr2,gara-gara
2369,gamau,enggak mau
2370,skolah,sekolah
2371,pdahal,padahal
2372,klas,kelas
2373,tkut,takut
2374,grunya,gurunya
2375,pndah,pindah
2376,liat2,lihat-lihat
2377,masukin,memasukkan
2378,dilindungin,dilindungi
2379,kasiaannn,kasihan
2380,miring2,miring-miring
2381,tinggalin,tinggalkan
2382,kaitannha,kaitannya
2383,sud,sudah
2384,pinter,pintar
2385,rana,ranah
2386,thdp,terhadap
2387,scr,secara
2388,bhkn,bahkan
2389,justeru,justru
2390,ngatai,mengatai
2391,kln,kalian
2392,sukak,suka
2393,termuraaahhhh,termurah
2394,brkunjun,berkunjung
2395,suarranya,suaranya
2396,"bner""",benar-benar
2397,iu,itu
2398,bgussss,bagus
2399,kmaren,kemarin
2400,ambilin,mengambil
2401,biasaaaa,biasa
2402,luuuaar,luar
2403,redho,ridho
2404,rezki,rezeki
2405,kepd,kepada
2406,luaarrr,luar
2407,biasaaa,biasa
2408,jadilh,jadilah
2409,bnr,benar
2410,terhaaru,terharu
2411,orrunya,orang tuanya
2412,flm,film
2413,kalok,kalo
2414,adek2,adek-adek
2415,loncatt,loncat
2416,hampasss,hempas
2417,tehh,teh
2418,bunga2,bunga-bunga
2419,apaaan,apaan
2420,ampuuunn,ampun
2421,daaah,dah
2422,bangetttttt,banget
2423,ituh,itu
2424,cantiiikk,cantik
2425,suaranyaaaaaa,suaranya
2426,idoolaaa,idola
2427,pulaa,pula
2428,penyanyi2,penyanyi-penyanyi
2429,wiih,wih
2430,apaa,apa
2431,miriip,mirip
2432,allaahh,allah
2433,ajahhh,saja
2434,trims,terima kasih
2435,dehat,sehat
2436,salammmm,salam
2437,hari2,hari-hari
2438,sihat,sehat
2439,buruann,buruan
2440,rekomendain,rekomendasikan
2441,trussss,terus
2442,bangt,banget
2443,cepet,cepat
2444,pesen,pesan
2445,boong,bohong
2446,prawatan,perawatan
2447,mkin,makin
2448,dimao,dimau
2449,dijadiin,dijadikan
2450,silahkn,silakan
2451,kasiatnya,khasiatnya
2452,"minyak""an",minyak-minyakan
2453,suksess,sukses
2454,prodak,produk
2455,trasa,terasa
2456,minpi,mimpi
2457,bner2,benar-benar
2458,mutihin,memutihkan
2459,smster,semester
2460,kmren,kemarin
2461,ucull,lucu
2462,"ngomong""",ngomong-ngomong
2463,udehh,sudah
2464,syngnya,sayangnya
2465,dipermainin,dipermainkan
2466,kocakkk,kocak
2467,dasarrr,dasar
2468,waaaaw,wow
2469,cannnnntikkkkkkk,cantik
2470,mukax,mukanya
2471,cantikx,cantiknya
2472,fatanik,fanatik
2473,protestin,protestan
2474,kakau,kalau
2475,marh,marah
2476,emngnya,memangnya
2477,cantiknyaa,cantiknya
2478,darpada,daripada
2479,cooooooocok,cocok
2480,pkk,pakai
2481,sling,saling
2482,agama'ny,agamanya
2483,bilng,bilang
2484,prcy,percaya
2485,lurusin,meluruskan
2486,biri,biru
2487,luco,lucu
2488,ultha,ultah
2489,batikk,batik
2490,arab2,arab-arab
2491,luchu,lucu
2492,baguss,bagus
2493,sedihhh,sedih
2494,syang,sayang
2495,ngasi,mengasih
2496,naaaak,nak
2497,astafirullah,astagfirullah
2498,peragain,peragakan
2499,shayyy,say
2500,anjaayy,anjay
2501,shay,say
2502,ngilerrrr,mengiler
2503,woyyy,woy
2504,shaaaay,say
2505,hempaass,hempas
2506,sayyy,say
2507,shayy,say
2508,syantiek,cantik
2509,njay,anjay
2510,hehh,eh
2511,cantik2,cantik-cantik
2512,kam,kamu
2513,ingeet,ingat
2514,sblh,sebelah
2515,nawarin,menawari
2516,amiiiiin,amin
2517,jauhhh,jauh
2518,waaahhh,wah
2519,ajakin,mengajak
2520,mntn,mantan
2521,ade,adek
2522,luhhh,lu
2523,yooookkk,yuk
2524,jrnk,jarang
2525,"jelas""",jelas-jelas
2526,kayax,kayak
2527,dblkng,dibelakang
2528,anjirr,anjir
2529,mirippp,mirip
2530,sangattt,sangat
2531,iyap,iya
2532,mayann,lumayan
2533,autuhh,tau tuh
2534,atutt,takut
2535,ketara,tertara
2536,giniii,begini
2537,mbaaass,mbak
2538,bund,bunda
2539,bangeeettt,banget
2540,almh,almarhumah
2541,temenkuuh,temanku
2542,suami'y,suaminya
2543,bngeeeetttt,banget
2544,entr,entar
2545,kyax,kayak
2546,cuantikkk,cantik
2547,mksdnya,maksudnya
2548,kaaaaaaaaaakkkkkkkkkkk,kak
2549,kucing'y,kucingnya
2550,nama'in,namai
2551,panggilan'ya,panggilannya
2552,panggilan'y,panggilannya
2553,z,saja
2554,kalw,kalau
2555,tips2,tips-tips
2556,alu,aku
2557,ngerrrriiii,ngeri
2558,ngriii,mengiri
2559,amatt,amat
2560,smpai,sampai
2561,kox,kok
2562,tmbah,tambah
2563,cntikk,cantik
2564,pkee,pakai
2565,smkin,semakin
2566,amiiiiinnn,amin
2567,bgmna,bagaimana
2568,ssorg,seseorang
2569,hdpn,hadapan
2570,foto2,foto-foto
2571,mnambh,menambah
2572,ktaatan,ketaatan
2573,stju,setuju
2574,cantikkkkkk,cantik
2575,dilepas2,dilepas-lepas
2576,tehhh,teh
2577,istiqomahhh,istikamah
2578,tehhhh,teh
2579,prodaknya,produknya
2580,imutt,imut
2581,amu,kamu
2582,nahh,nah
2583,mauuuuuuu,mau
2584,jilbb,jilbab
2585,tmn,teman
2586,ndut,gendut
2587,ngecek,mengecek
2588,psti,pasti
2589,penasarn,penasaran
2590,cuyy,cuy
2591,astauviruloh,astagfirullah
2592,paaak,pak
2593,diajarin,diajari
2594,gawl,gaul
2595,kecr,kece
2596,iih,ih
2597,laaaah,lah
2598,aned,banget
2599,gingsungny,gingsulnya
2600,blh,boleh
2601,cariin,carikan
2602,kenceng,kencang
2603,cuanti,cantik
2604,mbanya,mbaknya
2605,knlan,kenalan
2606,mbaakk,mbak
2607,mrka,mereka
2608,nyusahhin,menyusahkan
2609,byaran,bayaran
2610,wlawpun,walaupun
2611,sedangkn,sedangkan
2612,tnpa,tanpa
2613,bnggain,banggakan
2614,nyusahin,menyusahkan
2615,malu2in,malu-malui
2616,dibanggain,dibanggakan
2617,wlau,walau
2618,komenan,komentar
2619,"bangga""in",membangga-banggakan
2620,krya,karya
2621,"bilang""",bilang-bilang
2622,tinggall,tinggal
2623,dmna,dimana
2624,dripda,daripada
2625,bangga2in,membangga-banggakan
2626,dibnggain,dibanggakan
2627,karya2,karya-karya
2628,drimana,darimana
2629,ngepake',memakai
2630,gksalah,enggak salah
2631,nuntut,menuntut
2632,ngebiarin,membiarkan
2633,bhas,bahas
2634,lagu'y,lagunya
2635,jadiin,jadikan
2636,diem,diam
2637,nyampah,menyampah
2638,"mba""",mbak-mbak
2639,bukan'a,bukannya
2640,tappi,tapi
2641,kalli,kali
2642,pacara,pacaran
2643,"ngerebut""",merebut-rebut
2644,lluu,lu
2645,mbaa,mbak
2646,ngerussak,merusak
2647,"bela""in",membela-bela
2648,bellain,membela
2649,kallo,kalo
2650,coment,komen
2651,dewassa,dewasa
2652,comnet,komen
2653,"pikir""",pikir-pikir
2654,kaya'a,kayanya
2655,kuyyy,yuk
2656,kitaa,kita
2657,sgtu'y,sebegitunya
2658,ngebelain,membela
2659,tpii,tapi
2660,"karya""",karya-karya
2661,do,di
2662,cali,caci
2663,penghrgaan,penghargaan
2664,ajjh,saja
2665,lbihh,lebih
2666,baikk,baik
2667,drii,dari
2668,"artist""",artis-artis
2669,"maki""",maki-maki
2670,sendirinnya,sendirinya
2671,stidaknya,setidaknya
2672,may,mau
2673,trbaikk,terbaik
2674,punn,pun
2675,mengikutii,mengikuti
2676,atassan,atasan
2677,klauu,kalau
2678,jngnn,jangan
2679,so,sok
2680,sendirinyya,sendirinya
2681,frestasiii,prestasi
2682,mst,mesti
2683,add,ada
2684,see,sih
2685,sibukx,sibuknya
2686,in,ini
2687,katanyaa,katanya
2688,lawaaaas,lawas
2689,kocaaaak,kocak
2690,syng,sayang
2691,adenya,adeknya
2692,pkoknyaa,pokoknya
2693,dsana,disana
2694,dua2nya,dua-duanya
2695,sichhhhhhhhhh,sih
2696,nampak,menampak
2697,tetehh,teteh
2698,wooowww,wow
2699,cobain,coba
2700,muga,moga
2701,kenalin,mengenalkan
2702,janka,jangka
2703,wawwwww,wow
2704,waaaww,wow
2705,waaawwww,wow
2706,mantapp,mantap
2707,cobaaa,coba
2708,kageet,kaget
2709,bangettttttt,banget
2710,oplas,operasi plastik
2711,nambahh,bertambah
2712,paripurnahh,paripurna
2713,wanitah,wanita
2714,indonesiaah,indonesia
2715,cumn,cuman
2716,gegra,gegara
2717,brita,berita
2718,fotbar,foto bareng
2719,wajarrr,wajar
2720,sngt,sangat
2721,wk,waktu
2722,bingiittt,banget
2723,nampar,menampar
2724,tukan,tukang
2725,jatoh,jatuh
2726,"muka""",muka-muka
2727,cantik2nya,cantik-cantiknya
2728,sdgkn,sedangkan
2729,"apa""",apa-apa
2730,mancungin,memancungkan
2731,idung,hidung
2732,kusem,kusam
2733,drpada,daripada
2734,kmar,kamar
2735,diemm,diam
2736,tnggu,tunggu
2737,ketawain,mentertawakan
2738,yaelahhh,alah
2739,"sikap""",sikap-sikap
2740,bales,balas
2741,ampuun,ampun
2742,ngejatuhin,manjatuhkan
2743,ngelakuin,melakukan
2744,gedeg,gedek
2745,muka2,muka-muka
2746,eey,eh
2747,kslahan,kesalahan
2748,perhatiam,perhatian
2749,dibiarin,dibiarkan
2750,sbnrny,sebenarnya
2751,trjd,terjadi
2752,mkir,memikir
2753,hny,hanya
2754,apalai,apalagi
2755,bkal,bakal
2756,saat2,saat-saat
2757,nyadar,menyadari
2758,bka,buka
2759,berani2,berani-berani
2760,lucuuuuu,lucu
2761,pipi'y,pipinya
2762,gemmeeezzz,gemas
2763,sukam,suka
2764,menghilangkn,menghilangkan
2765,mnjdkan,menjadikan
2766,mudah2n,mudah-mudahan
2767,stlh,setelah
2768,soalx,soalnya
2769,keche,kece
2770,badaii,badai
2771,btuh,butuh
2772,ktanya,katanya
2773,bebrp,beberapa
2774,sblum,sebelum
2775,santab,santap
2776,salehah,salihah
2777,mikirin,memikirkan
2778,subhannallah,subhanallah
2779,konsul,konsultasi
2780,pengalam,pengalaman
2781,poko,pokok
2782,trun,turun
2783,kuninggg,kuning
2784,pinkkkk,pink
2785,warnany,warnanya
2786,seger,segar
2787,senangat,semangat
2788,msknya,masaknya
2789,kerennnn,keren
2790,ciptain,ciptakan
2791,bagussss,bagus
2792,sayangkuh,sayangku
2793,gans,ganteng
2794,kren,keren
2795,babget,banget
2796,dihh,dih
2797,jadu,jadi
2798,ksyngn,kesayangan
2799,haru,harus
2800,ngingetin,mengingatkan
2801,narik,menarik
2802,"orang""",orang-orang
2803,gokilll,gila
2804,astagaaaa,astaga
2805,hancuuuuuy,hancur
2806,mattihhh,mati
2807,beudd,banget
2808,termiribkan,termiripkan
2809,dngerin,mendengarkan
2810,brrti,berarti
2811,wenakk,enak
2812,nganteng,ganteng
2813,abanggg,abang
2814,seksii,seksi
2815,gtuh,begitu
2816,jadii,jadi
2817,emeezzz,gemas
2818,amohhh,kamu
2819,maau,mau
2820,eyke,aku
2821,gilakkkkk,gila
2822,awk,awak
2823,duhhhhh,duh
2824,wowww,wow
2825,liaatt,lihat
2826,iniiiii,ini
2827,aloh,allah
2828,ngettt,banget
2829,maso,masa
2830,brubah,berubah
2831,pelastik,plastik
2832,keak,kayak
2833,dengerin,dengarkan
2834,beud,banget
2835,pahamin,pahami
2836,takuuuuut,takut
2837,ahahahanjirrr,anjir
2838,jogetin,berjoget
2839,shaay,say
2840,boker,berak
2841,pacarnyaa,pacarnya
2842,siapaa,siapa
2843,matii,mati
2844,ketawaa,ketawa
2845,wanjiir,anjir
2846,bw,bawa
2847,minta,meminta
2848,bnran,benaran
2849,sgla,segala
2850,uitnya,duitnya
2851,beliiin,belikan
2852,yaaah,ya
2853,sekaeang,sekarang
2854,tgk,tengok
2855,tanyain,tanyakan
2856,jatuhnyaa,jatuhnya
2857,banyakin,membanyaki
2858,tipu2nya,tipu-tipunya
2859,doaang,doang
2860,gituan,begituan
2861,kaj,kak
2862,wahhhhhh,wah
2863,iiiiiiiii,ih
2864,kaliiiiiii,kali
2865,melebihin,melebihi
2866,gakpapa,enggak apa-apa
2867,kalogak,kalo enggak
2868,sm2,sama-sama
2869,ndukung,mendukung
2870,kaaaaa,kak
2871,aamiinnn,amin
2872,skluarga,sekeluarga
2873,suaminga,suaminya
2874,berhijap,berhijab
2875,smgaa,semoga
2876,istiqamah,istikamah
2877,cuaaantikk,cantik
2878,muraaaaah,murah
2879,baraang,barang
2880,aamiiin,amin
2881,bets,banget
2882,alhamdulillaaaaah,alhamdulillah
2883,sembuhin,menyembuhkan
2884,pengrusak,perusak
2885,ngoceh,mengoceh
2886,aduhhh,aduh
2887,hpus,hapus
2888,pjang,pajang
2889,bdampingan,berdampingan
2890,kaga,kagak
2891,uih,uh
2892,"serem""",seram-seram
2893,"happi""",hepi-hepi
2894,bgtuu,begitu
2895,mff,maaf
2896,ktwa,ketawa
2897,trlalu,terlalu
2898,jjur,jujur
2899,ngmg,mengomong
2900,semogaa,semoga
2901,kepelesett,terpeleset
2902,geeelaakk,gila
2903,bolang,bocah petualang
2904,pkek,pakai
2905,lagihh,lagi
2906,hedeuuhh,aduh
2907,stress,stres
2908,saltummmm,salah kostum
2909,mboizzz,bois
2910,suda,sudah
2911,kayaq,kayak
2912,ema,emak
2913,dirumahny,dirumahnya
2914,yuh,tuh
2915,rmbt,rambut
2916,apus,hapus
2917,siapayahh,siapa ya
2918,kostom,kostum
2919,gnii,begini
2920,atuu,satu
2921,pipinyaaa,pipinya
2922,bungkuuuuuuuuusss,bungkus
2923,iiiihhhhhj,ih
2924,emeessss,gemas
2925,pipine,pipinya
2926,glembeeeer,gelambir
2927,lucunaaa,lucunya
2928,cubanget,lucu banget
2929,pengenn,ingin
2930,unyuuk,unyu
2931,dedek,adek
2932,lucunyah,lucunya
2933,mantaaap,mantap
2934,keduaa,kedua
2935,trsrh,terserah
2936,ksih,kasih
2937,seterong,setrong
2938,teyuss,terus
2939,dimasukin,dimasuki
2940,jelekin,menjelekkan
2941,jahatin,menjahati
2942,tai,tahi
2943,gtw,enggak tau
2944,qo,kok
2945,nulis,menulis
2946,nyebutin,menyebutkan
2947,ngertiin,mengerti
2948,rasaiin,rasai
2949,gakusah,enggak usah
2950,disni,disini
2951,sabarrr,sabar
2952,semangaatttt,semangat
2953,nyalahin,menyalahkan
2954,bedainnya,membedakannya
2955,keknya,kayaknya
2956,krus,kurus
2957,elaaaahhhh,alah
2958,cogan,cowok ganteng
2959,tap8,tapi
2960,pandanginya,memandanginya
2961,kenaliiin,kenalkan
2962,banyak2,banyak-banyak
2963,yo,ya
2964,suko,suka
2965,niih,nih
2966,sihhhh,sih
2967,"sebaik""",sebaik-baik
2968,segtu,sebegitu
2969,ngebenci,membenci
2970,bakar2in,bakar-bakari
2971,padhe,pakde
2972,yya,ya
2973,atw,atau
2974,dosa2mu,dosa-dosamu
2975,maafin,memaafi
2976,gile,gila
2977,ujung2,ujung-ujung
2978,dalem2,dalam-dalam
2979,kgak,kagak
2980,bahas2,bahas-bahas
2981,ud,sudah
